resource_code,name,type,category,unit,price_avg,price_min,price_max,price_median,price_variants,currency,avg_cost_per_use,avg_qty_per_use,usage_count,used_in_work_items,parent_category,parent_collection,parent_department,parent_section
WW00400,PEQUEÑO MATERIAL,Material,General,u,0.33,0.33,0.33,0.33,1,EUR,1.96,5.9541,3044,3044,DEMOLICIONES Y TRABAJOS PREVIOS,Base de Costes de la Construccion de Andalucia (BCCA 2023),DEMOLICIONES Y TRABAJOS PREVIOS,Varios
WW00300,MATERIAL COMPLEMENTARIO O PZAS. ESPECIALES,Material,General,u,0.6,0.6,0.6,0.6,1,EUR,7.75,12.9084,2938,2938,DEMOLICIONES Y TRABAJOS PREVIOS,Base de Costes de la Construccion de Andalucia (BCCA 2023),DEMOLICIONES Y TRABAJOS PREVIOS,Varios
TP00100,PEÓN ESPECIAL,Labor,Labor,h,22.01,22.01,22.01,22.01,1,EUR,17.86,0.8115,2534,2534,DEMOLICIONES Y TRABAJOS PREVIOS,Base de Costes de la Construccion de Andalucia (BCCA 2023),DEMOLICIONES Y TRABAJOS PREVIOS,Bóvedas
ATC00100,"CUADRILLA ALBAÑILERÍA, FORMADA POR OFICIAL 1ª Y PEÓN ESP.",Material,General,h,45.18,45.18,45.18,45.18,1,EUR,73.3,1.6224,1230,1230,CIMENTACIONES,Base de Costes de la Construccion de Andalucia (BCCA 2023),CIMENTACIONES,In situ
TO01900,OF. 1ª FONTANERO,Labor,Labor,h,23.17,23.17,23.17,23.17,1,EUR,23.47,1.0131,887,887,SANEAMIENTO,Base de Costes de la Construccion de Andalucia (BCCA 2023),SANEAMIENTO,Sifónicas
TO02100,OFICIAL 1ª,Labor,Labor,h,23.17,23.17,23.17,23.17,1,EUR,19.56,0.8444,527,527,DEMOLICIONES Y TRABAJOS PREVIOS,Base de Costes de la Construccion de Andalucia (BCCA 2023),DEMOLICIONES Y TRABAJOS PREVIOS,Varios
TO01800,OF. 1ª ELECTRICISTA,Labor,Labor,h,23.17,23.17,23.17,23.17,1,EUR,25.98,1.1211,510,510,DEMOLICIONES Y TRABAJOS PREVIOS,Base de Costes de la Construccion de Andalucia (BCCA 2023),DEMOLICIONES Y TRABAJOS PREVIOS,Contadores
ATC00400,CUADRILLA FORMADA POR OFICIAL 1ª INSTALADOR Y AYUDANTE,Material,General,h,45.53,45.53,45.53,45.53,1,EUR,702.62,15.432,476,476,DEMOLICIONES Y TRABAJOS PREVIOS,Base de Costes de la Construccion de Andalucia (BCCA 2023),DEMOLICIONES Y TRABAJOS PREVIOS,Aire acondicionado
AGM00500,"MORTERO DE CEMENTO M5 (1:6) CEM II/A-L 32,5 N",Material,Concrete & Cement,m3,79.9,79.9,79.9,79.9,1,EUR,5.38,0.0673,465,465,CIMENTACIONES,Base de Costes de la Construccion de Andalucia (BCCA 2023),CIMENTACIONES,Fábricas
TO01600,OF. 1ª CERRAJERO-CHAPISTA,Labor,Labor,h,23.17,23.17,23.17,23.17,1,EUR,8.99,0.3881,430,430,DEMOLICIONES Y TRABAJOS PREVIOS,Base de Costes de la Construccion de Andalucia (BCCA 2023),DEMOLICIONES Y TRABAJOS PREVIOS,A brazo
TO01400,OF. 1ª CALEFACTOR O MECÁNICO,Labor,Labor,h,23.17,23.17,23.17,23.17,1,EUR,54.22,2.3399,365,365,INSTALACIONES,Base de Costes de la Construccion de Andalucia (BCCA 2023),INSTALACIONES,Equipos y elementos auxiliares
ATC00200,"CUADRILLA ALBAÑILERÍA, FORMADA POR OFICIAL 2ª Y PEÓN ESP.",Material,General,h,44.6,44.6,44.6,44.6,1,EUR,27.87,0.6249,355,355,CIMENTACIONES,Base de Costes de la Construccion de Andalucia (BCCA 2023),CIMENTACIONES,In situ
TO00100,OF. 1ª ALBAÑILERÍA,Labor,Labor,h,23.17,23.17,23.17,23.17,1,EUR,15.23,0.6574,316,316,DEMOLICIONES Y TRABAJOS PREVIOS,Base de Costes de la Construccion de Andalucia (BCCA 2023),DEMOLICIONES Y TRABAJOS PREVIOS,Hormigón armado
CH04120,"HORMIGÓN HM-20/P/40/X0, SUMINISTRADO",Material,General,m3,93.3,93.3,93.3,93.3,1,EUR,25.34,0.2715,313,313,CIMENTACIONES,Base de Costes de la Construccion de Andalucia (BCCA 2023),CIMENTACIONES,En masa
